counter,date,time,date_time,total
61357029,2014-05-16,10:00:00 PM,2014-05-16T22:00:00Z,55
61357029,2014-05-16,11:00:00 PM,2014-05-16T23:00:00Z,37
61357029,2014-05-17,12:00:00 AM,2014-05-17T00:00:00Z,20
61357029,2014-05-17,1:00:00 AM,2014-05-17T01:00:00Z,13
61357029,2014-05-17,2:00:00 AM,2014-05-17T02:00:00Z,5
61357029,2014-05-17,3:00:00 AM,2014-05-17T03:00:00Z,3
61357029,2014-05-17,4:00:00 AM,2014-05-17T04:00:00Z,20
61357029,2014-05-17,5:00:00 AM,2014-05-17T05:00:00Z,36
61357029,2014-05-17,6:00:00 AM,2014-05-17T06:00:00Z,85
61357029,2014-05-17,7:00:00 AM,2014-05-17T07:00:00Z,138
61357029,2014-05-17,8:00:00 AM,2014-05-17T08:00:00Z,192
61357029,2014-05-17,9:00:00 AM,2014-05-17T09:00:00Z,264
61357029,2014-05-17,10:00:00 AM,2014-05-17T10:00:00Z,329
61357029,2014-05-17,11:00:00 AM,2014-05-17T11:00:00Z,303
61357029,2014-05-17,12:00:00 PM,2014-05-17T12:00:00Z,298
61357029,2014-05-17,1:00:00 PM,2014-05-17T13:00:00Z,296
61357029,2014-05-17,2:00:00 PM,2014-05-17T14:00:00Z,319
61357029,2014-05-17,3:00:00 PM,2014-05-17T15:00:00Z,311
61357029,2014-05-17,4:00:00 PM,2014-05-17T16:00:00Z,318
61357029,2014-05-17,5:00:00 PM,2014-05-17T17:00:00Z,304
61357029,2014-05-17,6:00:00 PM,2014-05-17T18:00:00Z,243
61357029,2014-05-17,7:00:00 PM,2014-05-17T19:00:00Z,190
61357029,2014-05-17,8:00:00 PM,2014-05-17T20:00:00Z,134
61357029,2014-05-17,9:00:00 PM,2014-05-17T21:00:00Z,106
61357029,2014-05-17,10:00:00 PM,2014-05-17T22:00:00Z,51
61357029,2014-05-17,11:00:00 PM,2014-05-17T23:00:00Z,31
61357029,2014-05-18,12:00:00 AM,2014-05-18T00:00:00Z,25
61357029,2014-05-18,1:00:00 AM,2014-05-18T01:00:00Z,9
61357029,2014-05-18,2:00:00 AM,2014-05-18T02:00:00Z,2
61357029,2014-05-18,3:00:00 AM,2014-05-18T03:00:00Z,7
61357029,2014-05-18,4:00:00 AM,2014-05-18T04:00:00Z,12
61357029,2014-05-18,5:00:00 AM,2014-05-18T05:00:00Z,31
61357029,2014-05-18,6:00:00 AM,2014-05-18T06:00:00Z,84
61357029,2014-05-18,7:00:00 AM,2014-05-18T07:00:00Z,132
61357029,2014-05-18,8:00:00 AM,2014-05-18T08:00:00Z,245
61357029,2014-05-18,9:00:00 AM,2014-05-18T09:00:00Z,319
61357029,2014-05-18,10:00:00 AM,2014-05-18T10:00:00Z,446
61357029,2014-05-18,11:00:00 AM,2014-05-18T11:00:00Z,512
61357029,2014-05-18,12:00:00 PM,2014-05-18T12:00:00Z,428
